RAW,Arabic,English
لا 3103772,لا ,no
من 2965717,من ,from
في 2420145,في ,in
أن 2319199,أن ,that
هذا 2166337,هذا ,this
على 1613642,على ,on
ما 1479477,ما ,what
أنا 1362347,أنا ,I
هل 1283925,هل ,Do
و 1182541,و ,And
يا 1145033,يا ,Hey
ذلك 1138151,ذلك ,that
لقد 1110999,لقد ,lhave
لم 963831,لم ,did not
ماذا 905328,ماذا ,What
كان 835179,كان ,He was
هنا 831436,هنا ,here
إلى 785580,إلى ,to
أنت 784910,أنت ,You
هو 714976,هو ,he
هذه 676655,هذه ,This is amazing
عن 661118,عن ,on
نعم 621456,نعم ,Yes
ان 597153,ان ,that
هناك 572525,هناك ,there
كل 567648,كل ,all
حسناً 555003,حسناً ,Good
ليس 534750,ليس ,not
كنت 528468,كنت ,I was
فقط 502032,فقط ,Just
شيء 492077,شيء ,something
الآن 481857,الآن ,now
مع 478525,مع ,with
الذي 476472,الذي ,that
لكن 453064,لكن ,but
أجل 441357,أجل ,Okay
لك 404720,لك ,for you
يجب 399595,يجب ,He should
لن 398877,لن ,won't
كيف 379721,كيف ,how
حسنا 353902,حسنا ,Good
انا 346676,انا ,I
لي 332448,لي ,for me
إنه 331797,إنه ,that it
سوف 330878,سوف ,will
نحن 329643,نحن ,we
إذا 317037,إذا ,if
كانت 314945,كانت ,She was
عندما 310656,عندما ,when
أي 306202,أي ,any
قد 302480,قد ,may be
لماذا 300695,لماذا ,Why
هي 299080,هي ,she
الأمر 298500,الأمر ,Order
أنه 297966,أنه ,that it
فى 295161,فى ,in
حتى 286812,حتى ,until
بعد 282861,بعد ,after
كذلك 271959,كذلك ,like that
أو 259028,أو ,or
ولكن 254867,ولكن ,But
قبل 252658,قبل ,before
التي 248033,التي ,that
انه 245723,انه ,that it
إنها 244075,إنها ,that it
ـ 240754,ـ ,-
لو 239202,لو ,if
ربما 238034,ربما ,maybe
أين 236483,أين ,where
هيا 234926,هيا ,Let's go
تلك 231915,تلك ,That
أعرف 231425,أعرف ,I know
الى 226241,الى ,to
إن 222875,إن ,that
يكون 221823,يكون ,He is
بعض 219199,بعض ,some
أريد 215675,أريد ,I want
أعتقد 209271,أعتقد ,I believe
انت 202328,انت ,You
عليك 201640,عليك ,upon you
مثل 197432,مثل ,like
صحيح 195875,صحيح ,correct
به 193490,به ,with it
أنك 189944,أنك ,You are
الوقت 187206,الوقت ,the time
بخير 185367,بخير ,fine
أعلم 180540,أعلم ,Know
أحد 178626,أحد ,One
شخص 178534,شخص ,person
جداً 177176,جداً ,very
رجل 173444,رجل ,man
شكراً 173106,شكراً ,Thanks
لذا 172327,لذا ,So
يمكن 170288,يمكن ,maybe
كما 170253,كما ,as
كلا 169755,كلا ,both
أكثر 169724,أكثر ,more
يبدو 166061,يبدو ,It seems
جيد 165331,جيد ,good
تكون 164298,تكون ,Formation